id,news_url,title,Status
"1054181067194880000	1054189853183746049	1054206106191491073	1054215188432343040	1054216229836079104	1054221728023486466	1054240061485711360	1054240061116555266	1054260698866507776	1054262687646056448	1054263088478912514	1054266357989044224	1054274359815270400	1054284499746463746	1054303409262669824	1054306285754048512	1054310980040171520	1054321707350147072	1054322677522022402	1054331505114275843	1054339313775861766	1054342763615932417	1054346655988879362	1054362579664023553	1054364312054116352	1054366782188912640	1054368144679206912	1054369261941149696	1054389903058862080	1054395399895695362	1054395478371123201	1054399976976072704	1054406919350292481	1054413681201700870	1054413845211635713	1054419253129080832	1054431983659495424	1054437183623446529	1054447559916302337	1054447558339239936	1054448412953849862	1054449908210692096	1054456555356254209	1054457050720288771	1054466687364403200	1054476679949762561	1054485491788087297	1054515019570913280	1054521090419163137	1054526272888553472	1054529345262252032	1054545198196424711	1054553971556319232	1054601821019357184	1054604242223353856	1054605544202223618	1054616951874564096	1054625195141533696	1054645459552292865	1054661240256118784	1054681552922136582	1054694119904288768	1054702241981128704	1054703675657146368	1054705198860505088	1054710009676722176	1054714236021153792	1054719354565287936	1054728627114438656	1054731650117091328	1054736233082044418	1054738225623908353	1054738318666141701	1054740740616658944	1054746961625145345	1054752987531350016	1054762138189918209	1054777700508991489	1054777992180912128	1054782767601541121	1054797591878266882	1054806087537491971	1054819516419596293	1054835600287784960	1054842429298360322	1054850390984929281	1054853770415345664	1054854942719127552	1054866946360070144	1054875759645483008	1054899534122356736	1054901017517678593	1054912959238062081	1054915921536581632	1054944620562411520	1054969978754162691	1054986679705047040	1055000571739099136	1055028436354428928	1055035802483417088	1055036366269177856	1055037135953096705	1055054044258095105	1055068387955671041	1055070078616645632	1055075483832983552	1055086543478509569	1055094037252845569	1055103223151890432	1055106381630660610	1055116609478631427	1055143803907129344	1055155171544641536	1055162978037837824	1055178008498241542	1055189110707707907	1055193305091313664	1055199252803215379	1055221250698682369	1055243903807434752	1055246089866108928	1055259063276265472	1055259138039656451	1055259353744195584	1055278401869758464	1055279715714564096	1055282013664657410	1055305997126791168	1055315914785284096	1055322475662196741	1055325319584837632	1055347024298528768	1055352849360711681	1055387319799296000	1055393551532445698	1055398866265276417	1055408237019840512	1055420971941851139	1055421815210807296	1055432988438261760	1055437771077226496	1055449535508561920	1055450633850052608	1055451225620168706	1055451616675950592	1055452056591437825	1055455033074974720	1055462651575316481	1055469787197915137	1055481138737827848	1055485645446148096	1055503449146753024	1055508071160692737	1055512552141217793	1055512696655773697	1055515147093983232	1055519774665555970	1055524577378492421	1055529987833556993	1055533533253525505	1055535320362614786	1055537064631042049	1055538171197427712	1055542581449248768	1055545010723213312	1055546649731391495	1055551351202201600	1055553867851677701	1055554041944649728	1055557773650509824	1055558854946316288	1055559264503099392	1055563467984437251	1055563671513063424	1055579181457854464	1055582345355440128	1055611981963689986	1055612520902344705	1055616724144476160	1055620317287194625	1055622791750397952	1055624848196730880	1055639223359946752	1055642571714772993	1055651255668932610	1055655500644257792	1055668363676934144	1055684220595695618	1055685316852441089	1055689091495444480	1055694629176270848	1055700120971370497	1055708144611950592	1055710523189190656	1055714975069728768	1055725816947007488	1055727479514632192	1055727479057473536	1055731644584390656	1055736417475878912	1055749268529709056	1055749518250004480	1055770254142595072	1055777638470414336	1055792167162130432	1055800989595377664	1055806018209357824	1055810915784900608	1055823570482405376	1055839134454026240	1055842915770089472	1055851392286498816	1055851687439749120	1055852093443989504	1055855709546524673	1055858139055177730	1055869095239933959	1055876744312512513	1055877652488146945	1055883152277725184	1055884204326707202	1055890449431445504	1055890969709699072	1055897159885832194	1055908427023536128	1055908686600855553	1055912211992973313	1055913786274656257	1055926960625459202	1055964224827113472	1055969708699197442	1055973546118340608	1055974897116168192	1055985642985930752	1055987684923985920	1055988701166100480	1055988961414406146	1055988980846641154	1055991037456498689	1055995138403696640	1056011763852996608	1056022162052661248	1056023256069824512	1056029086022279171	1056030780038750208	1056037939518599168	1056043068720328704	1056061667971231744	1056063068004859906	1056063872346587138	1056065978168233984	1056070879304732672	1056078140425060352	1056079176875290624	1056082826171301888	1056085752084344832	1056086602764640258	1056099281977966592	1056100415018803200	1056102381677699072	1056110828716548096	1056112743567241216	1056126254536110080	1056127127634948096	1056133985158471680	1056137515449499648	1056145545314488322	1056155668061872128	1056158119422803968	1056162319632343040	1056170250612494336	1056176701946896384	1056178866832715776	1056192727703007232	1056210011490267139	1056238188056973312	1056238355581714434	1056238952087277569	1056240442466070528	1056246273429381120	1056250517649788928	1056252230716833792	1056253829556117504	1056255077667745792	1056263667254263810	1056266821727334401	1056268207034720256	1056273592017711104	1056275675211014146	1056277199383392256	1056280778752049153	1056285808662065153	1056288845136912389	1056289092382666752	1056292725321068545	1056296249480134662	1056307036240183297	1056328309058007040	1056343490140037126	1056344394499006465	1056348640741113856	1056353112204685312	1056353867208769537	1056355909323182083	1056378333682900992	1056379383680778240	1056383188048732160	1056393491499098112	1056394797559222272	1056397971984670720	1056420539730984961	1056423917034917888	1056428275281608705	1056436621267161090	1056440104628084737	1056441321089654784	1056446888923291648	1056449275272540165	1056456552717209600	1056456565421686784	1056465405101903872	1056467076423077888	1056488044390477825	1056489232045355008	1056489436710612992	1056495426080333824	1056501662569951232	1056514728154013698	1056519212510965761	1056522179234344960	1056523252934365184	1056535865609121792	1056535964443705344	1056536241200656390	1056545815601254402	1056548080743522304	1056548086267428864	1056552241652531201	1056555430309257221	1056560753761796096	1056575322915852288	1056589535256240128	1056593304995938304	1056601192489467911	1056602849193459713	1056621719631421441	1056622667808342016	1056629324026122240	1056634776826925056	1056639190866292737	1056646050042146816	1056654908408107008	1056655629383884802	1056657250432008192	1056666524084326400	1056671957507293184	1056687317698646016	1056689289629761538	1056717853347471360	1056719734257922048	1056722661139611648	1056737316650139648	1056739282268889089	1056739280834490368	1056739379908100096	1056750589009453057	1056753573529337856	1056758449340588032	1056763990645198848	1056779724322566144	1056780508766572544	1056781374563201024	1056784074872889344	1056835977623277568	1056843556353122305	1056846106292826113	1056865553699233794	1056869973291819009	1056877592429649920	1056890022291537920	1056911413946531840	1056917713212375040	1056930158190440448	1056932770214277121	1056934333490040833	1056936167403413507	1056944755744088066	1056947784040005632	1056948509637636096	1056956446305386496	1056967255697776641	1056973761956724737	1056980022479806465	1056987534885076992	1057002397652971520	1057009117305454592	1057019480344326146	1057030918551035904	1057038879843344384	1057041849960071169	1057058057895714817	1057078505119379457	1057080327716433920	1057094838577881088	1057097004155834368	1057099360025133056	1057100659445690368	1057101496364470272	1057107090542604295	1057108959990034432	1057111914453512192	1057120069635854336	1057123961182543873	1057151033246470144	1057174967488397312	1057175638644277248	1057190646056927233	1057206804122398722	1057214770884079617	1057230438622670848	1057230694500495360	1057235832124465154	1057242974084628487	1057256871545966592	1057259938190249984	1057260046227247106	1057267321276907520	1057272218642771971	1057275076960272390	1057277528551895040	1057284891581341696	1057290548673949701	1057292863497793537	1057293108856053760	1057299092420939776	1057324828519100416	1057329928109256705	1057330516175847424	1057335550691196928	1057350139998863361	1057351761105747968	1057356116995248129	1057359112281952258	1057361253017047040	1057361299838001155	1057365561318014979	1057369958156550145	1057378586905231361	1057391850305318913	1057401295064256513	1057404805776375809	1057411097324589057	1057420952928182273	1057423963528163328	1057431036936761344	1057452481381191681	1057455929082499073	1057457768301555713	1057458377926864896	1057465227082633216	1057465524030967809	1057467243972493312	1057479383101857794	1057480716391342080	1057483221418590208	1057488240540872705	1057489742063960064	1057510875098169345	1057523313348669440	1057523707248340992	1057528055617503232	1057534149429547009	1057554301940248577	1057564893673484288	1057591165955047425	1057593453742317569	1057611691100397568	1057614788073869313	1057628418660012032	1057640962569236480	1057646629392711680	1057658232993406977	1057663188328689665	1057664421080825856	1057669864821809152	1057673826648162304	1057681144660008960	1057689304829329408	1057691202701705217	1057713000369606662	1057720575219646464	1057727216132521984	1057729388320616448	1057732091218092032	1057738846157373458	1057746090898808832	1057750326588174336	1057758702537715712	1057759567109488640	1057765557657878528	1057774152948404224	1057790791551135745	1057791043054104576	1057805437339422720	1057811509315805185	1057812546349088768	1057817035588231171	1057826480988872704	1057829770216402944	1057832682867118080	1057835127080919040	1057835816389615616	1057840055463534592	1057841166073389057	1057846624695828480	1057849290335444992	1057849371428077568	1057851248840445952	1057858736583262208	1057878124975808517	1057904663700299776	1057913507109265410	1057918940007919617	1057930511497203712	1057952320200179714	1057959701609172993	1057963963726618625	1057973673401843714	1057976054776766464	1057976669472845824	1057982744914022400	1057991638990106625	1057996672498712576	1058007064788647936	1058021908224999425	1058023865723637760	1058024133051715584	1058033276995190790	1058038795591970816	1058043343291277313	1058044474411180033	1058045712250822661	1058048773065138176	1058050222448873473	1058058274623361025	1058058381523644416	1058058431356198912	1058060476976906242	1058073099487322118	1058079070024622080	1058100180510138368	1058100577782128641	1058102063429611520	1058105345246199809	1058106595320709122	1058115715805339648	1058127089910538240	1058128887505453057	1058139158663913472	1058141870063321097	1058200065800515584	1058203257481371648	1058207997464338433	1058221343345463296	1058221923497209856	1058260671719079938	1058268163396186112	1058279054300889088	1058296642514939904	1058307669348548608	1058318426400284672	1058323391596453888	1058330487398125568	1058337782173622273	1058344375984504835	1058346811138678784	1058355528517214208	1058368880777879552	1058373821533745152	1058376974354337793	1058377095171035136	1058383596225028096	1058393480446263297	1058395001099636736	1058398018972643328	1058420629706285057	1058426096620892160	1058426752681328640	1058431440327766023	1058446852419395584	1058458310079401989	1058463480553050112	1058470501687934978	1058473532982587393	1058481120759762944	1058491511023824897	1058504789548523520	1058517234073718784	1058518881428557829	1058527666368724992	1058529525389320194	1058531438889521153	1058542583364964353	1058558415243493377	1058569789440974848	1058575976769167360	1058577400781508608	1058582325938843648	1058584280186736641	1058585732548255744	1058591717207629825	1058592177746599937	1058600578673205248	1058602308265803776	1058625743943622656	1058638831765864448	1058681564979232768	1058689617921216512	1058693512399597569	1058708972201377792	1058717922917523457	1058724184363278338	1058734298281504768	1058741159764217856	1058744826194100225	1058769277086502913	1058769677768421377	1058769790809063424	1058771347952857088	1058779298776125442	1058790893912838144	1058802472561471488	1058803055666196480	1058804036172943360	1058822638682935301	1058846539919974400	1058854746440785921	1058858538137800714	1058862133893623809	1058868521252347904	1058870448610516997	1058881225077805056	1058883508997771264	1058885427611004928	1058886089857855488	1058887753075695617	1058891429693530112	1058902950540529664	1058913395225882627	1058914137839886336	1058930048973996037	1058966633002295296	1058986305902833664	1059010275796369408	1059018428722249729	1059019775387422721	1059022982654365696	1059024563638624256	1059032453199753216	1059036804786110465	1059060108674654219	1059069690608271360	1059072296126763008	1059073728942751745	1059077144167571458	1059086070556647424	1059101135489904640	1059104529734623234	1059105907156705280	1059106971046068224	1059108702161002496	1059112488401297408	1059124912974114816	1059125758000594945	1059130788728524801	1059132118058614784	1059137936363610112	1059150080400388096	1059155722716540928	1059156081732186113	1059156895473324035	1059160141927460869	1059161603973828609	1059169870422728704	1059178495048212480	1059179014676508677	1059188039317180416	1059200137732517888	1059203378142765056	1059204323471646720	1059204322163113987	1059215151717670914	1059216183931613184	1059222517167153153	1059223262666915845	1059268344216465409	1059269377751572480	1059273559107923973	1059277874266562561	1059290470017306624	1059291287310888961	1059310262346485760	1059314913389305856	1059320974481465344	1059321039073755136	1059339119493558272	1059340356691677185	1059346034508382208	1059346990931177478	1059350581188284416	1059353708587245568	1059353753067888640	1059359700066750465	1059361503051018241	1059379816846086146	1059379962497716224	1059380278592970753	1059387797902159872	1059403214221647872	1059407035618385920	1059425921101389826	1059428715585830912	1059449472206417921	1059454720828416000	1059455407079546881	1059470991636787200	1059480985274933251	1059493968361259009	1059500323306463232	1059500536477704192	1059505944625926144	1059553114058055680	1059558766193074177	1059576101679362048	1059582436626051073	1059583835845857280	1059596147587801089	1059602406990888961	1059608724141170688	1059611969341325312	1059620157054570496	1059622637771476992	1059623559067254790	1059627150301675530	1059628975402573825	1059635962894942209	1059645451710808064	1059648676493021186	1059651322109218816	1059665249106833408	1059669629373767680	1059670327125524480	1059674245075296256	1059678141633880064	1059679600178008064	1059680626285182978	1059691616519118848	1059693162225123328	1059693476634378245	1059694404150181889	1059700160932937728	1059702849259618304	1059704736780353536	1059711625672962048	1059719259637596160	1059755263127969794	1059764188946620416	1059774267045396480	1059774662295470080	1059798399338328064	1059800631186243584	1059804824827359234	1059826487644352514	1059842151650070529	1059852569734987778	1059862712199585797	1059867391973253120	1059867557631533056	1059875161036505089	1059876473404907520	1059876836140814336	1059877995811405832	1059879342652710912	1059880010809393152	1059885409658900484	1059892514809888768	1059928969913516032	1059930525933203456	1059931270766120961	1059931443248484355	1059936099580235778	1059938091954135040	1059952603164012546	1059953070879244290	1059954282970136577	1059965684178976771	1059970805831032832	1059996578889564160	1060001505187491842	1060008516612689921	1060023190901219328	1060028513166622720	1060031566213201920	1060036044501016576	1060056674915045377	1060062059075911680	1060063455842066432	1060067755393773568	1060069241313869825	1060086957370458112	1060094160789741568	1060106604882939904	1060110273351204865	1060119929423306753	1060119982451830784	1060139173670137856	1060172290791563266	1060180602383712258	1060223910271041536	1060224512476790784	1060224676947869696	1060228624878628866	1060230218412163072	1060237885725687808	1060238299086942209	1060253875700203521	1060258304507740161	1060259474248814592	1060267979055611904	1060278336801439745	1060295546970271744	1060297139694305280	1060297213975449600	1060298992263802885	1060317048184729601	1060317623978618880	1060331383128842243	1060336348501024768	1060350746565230594	1060358427736588288	1060401207494262784	1060418652082765824	1060418993696264192	1060419933165674496	1060426119554457600	1060426974315929600	1060440570995204096	1060461908434841602	1060462418566897665	1060463137890201600	1060471383199805440	1060479173515456513	1060491818524180480	1060514275884699650	1060518316551352320	1060541010869137409	1060543789608157184	1060550930339426304	1060554597519962112	1060557169735671808	1060557877558104066	1060562161678929921	1060574095694352384	1060575034975182848	1060575166714077185	1060576130871242752	1060576532698198017	1060592215808831490	1060598428822982656	1060600801708724224	1060601602732580864	1060604139841802240	1060613242240811008	1060618374072414208	1060618971970445313	1060635976941400065	1060652016622620673	1060654669876416513	1060655577163091974	1060660437455331328	1060661003703238656	1060672575179755520	1060672859922587648	1060691249055842305	1060692341239869441	1060695821853904896	1060696575968792576	1060698162204237825	1060698455822229504	1060704428997648384	1060710164070830080	1060713397644185600	1060721165415649280	1060721759438045184	1060732443437776907	1060733339047546881	1060737348093296641	1060748728238305281	1060759162026684416	1060760449472389120	1060767208299749377	1060770530683445248	1060779119150092289	1060794570181464064	1060849934713286657	1060850762522095616	1060855047893016578	1060866590160363522	1060870571842592768	1060874817027670016	1060885715972710400	1060889674460291072	1060907063604338689	1060909861435772930	1060916530249191424	1060925580173029379	1060945925768650752	1060947588638216193	1060964178192621569	1060986867271778305	1060990265606004736	1060993717706854400	1061000365158686721	1061000457336877056	1061013251675340805	1061023646053879808	1061025662385844224	1061028630048972800	1061029432012374016	1061039027619536896",,,Fake
gossipcop-9650269391,www.newidea.com.au/julia-roberts-miracle-baby-at-50,Julia Roberts miracle baby at 50,Fake
gossipcop-7365331782,hollywoodlife.com/2017/11/11/beyonce-taylor-swift-new-album-kanye-west-diss-tracks/,Beyonce Sipping Tea Listening To Taylor Swift’s Album: Why She’s Loving The Kanye West Diss Tracks,Fake
gossipcop-3503563094,www.usmagazine.com/entertainment/news/blake-shelton-gwen-stefani-talk-hookup-on-the-voice-w468013/,"Blake Shelton, Gwen Stefani Talk 'Hookup' on 'The Voice'",Fake
gossipcop-5866775064,hollywoodlife.com/2017/08/30/miranda-lambert-blake-shelton-reunion-meeting-gwen-stefani/,Miranda Lambert Desperate To Meet With Blake Shelton After His Reported Split From Gwen Stefani,Fake
gossipcop-1026793571,radaronline.com/videos/pregnant-kate-middleton-cocaine-bombshell/,Pregnant Kate Middleton Hit With Cocaine Bombshell,Fake
gossipcop-3896029098,hollywoodlife.com/2018/02/15/brad-pitt-reacts-jennifer-aniston-justin-theroux-split-separation/,Jen Aniston’s Split From Justin Theroux – What Brad Pitt Really Thinks About It,Fake
gossipcop-7391946984,www.hollywoodreporter.com/lists/emmys-2017-reactions-nominees-1020402,Emmys 2017: What the Nominees Are Saying,Fake
gossipcop-2277402152,www.justjared.com/2018/01/04/caitlyn-jenner-slams-the-kardashians-says-she-didnt-trust-them-to-know-about-her-gender-reassignment-surgery/,"Caitlyn Jenner Slams the Kardashians, Says She Didn't Trust Them to Know About Her Gender Reassignment Surgery",Fake
gossipcop-9940338306,www.ibtimes.co.uk/chris-brown-does-not-want-royalty-be-like-north-west-1493960,Chris Brown does not want Royalty to be like North West,Fake
gossipcop-8996311550,www.express.co.uk/celebrity-news/458512/Nicole-Kidman-and-Prince-Harry-named-sexiest-redheads-by-British-Heart-Foundation-survey,Nicole Kidman and Prince Harry named sexiest redheads,Fake
gossipcop-3084428038,www.usmagazine.com/celebrity-news/news/jennifer-lawrence-says-mother-led-to-darren-aronofsky-split/,Jennifer Lawrence Says ‘Mother!’ Led to Darren Aronofsky Split,Fake
gossipcop-1601939859,www.dailymail.co.uk/tvshowbiz/article-1319630/Kristen-Stewart-usual-scowling-self-night-Robert-Pattinson.html,Kristen Stewart is usual scowling self on night out with Robert Pattinson,Fake
gossipcop-392859545,www.thewrap.com/johnny-depp-settles-lawsuit-against-his-former-business-managers/,Johnny Depp Settles Lawsuit Against His Former Business Managers,Fake
gossipcop-5493993751,onairwithryan.iheart.com/,On Air with Ryan Seacrest,Fake
"1068681702774575104	1068707391166799872	1068720414837354501	1068722764545052672	1068740007161094144	1068745017198555136	1068875653729083393	1068901369040564225	1069016303896330240	1069028070974201857	1069104245381754880	1069252128458326017	1069263723204943872	1069280361530748931	1069344727680585733	1069345748133785600	1069381290133213184	1069381365408415745	1069402932402102272	1069420677286060033	1069440330959921152	1069605969053839362	1069626147762302978	1069695214955057153	1069823282206121985	1069840208730845184	1069987554001387523	1069988171239305217	1069988514010406914	1069988967196569605	1069989203386101760	1069990808097570823	1069990930726432768	1069992077369491457	1070076317473955841	1070155656550846464	1070350882221494273	1070544442220662784	1070696178566729728	1070713242866147328	1070720105410191361	1070721860118159361	1070721934093115392	1070722604007346176	1070723327617064960	1070724461488422912	1070888326041927680	1071031585783382016	1071051098641915905	1071075645772480514	1071101481275846657	1071103042257330180	1071164787273408514	1071185461996077056	1071185821292740610	1071204588764557312	1071211129374945280	1071211158357581825	1071216099537117184	1071299022277763072	1071350183324278787	1071427387768877056	1071438091997581312",,,Fake
gossipcop-5422231977,hollywoodlife.com/2017/07/14/kim-kardashian-kanye-west-sex-life-attracted-marriage/,Kanye West & Kim Kardashian Are Having ‘Best Sex of their Lives’: He’s So Attracted To Her,Fake
gossipcop-875924,https://www.dailymail.co.uk/tvshowbiz/article-4668922/Kylie-Jenner-refusing-discuss-dating-life-new-show.html,Kylie Jenner refusing to discuss Tyga on Life of Kylie,Real
gossipcop-894416,https://en.wikipedia.org/wiki/Quinn_Perkins,Quinn Perkins,Real
gossipcop-884684,https://www.cnn.com/2017/10/04/entertainment/celine-dion-vegas-shooting-victims/index.html,Celine Dion donates concert proceeds to Vegas shooting victims,Real
gossipcop-899309,https://tech2.org/chris-evans-millie-bobby-brown-snoop-dogg-and-more-stars-shower-bullied-student-keaton-jones-with-support/,"Chris Evans, Millie Bobby Brown, Snoop Dogg and more stars Shower Bullied student Keaton Jones with support – Tech2",Real
gossipcop-926957,https://decider.com/2018/06/11/claws-season-2-hulu/,When Will ‘Claws’ Season 2 Be On Hulu?,Real
gossipcop-918456,https://people.com/tv/scandals-bellamy-young-talks-being-adopted-landing-her-big-break/,"Bellamy Young Opens Up About Being Adopted, Her Real First Name and How She Almost Missed Out on Scandal",Real
gossipcop-870658,https://people.com/movies/ben-affleck-is-enjoying-his-summer-with-lindsay-shookus-as-they-vacation-in-maine-says-source/,"Ben Affleck Is 'Enjoying His Summer' with Lindsay Shookus as They Vacation in Maine, Says Source",Real
gossipcop-858032,https://medium.com/@AndreAguirre25111NTZ/alexa-chung-says-you-must-own-this-1-piece-from-her-latest-collection-9c81aa382e02,Alexa Chung Says You Must Own This 1 Piece From Her Latest Collection,Real
gossipcop-915349,https://www.vibe.com/2018/02/rihanna-birthday-toni-braxton-paris-hilton,Rihanna Rings In Her 30th Birthday With Toni Braxton And Paris Hilton,Real
gossipcop-887233,https://www.cbsnews.com/news/ed-sheeran-breaks-arm-in-bike-accident/,Ed Sheeran says he broke his arm in bike accident,Real
gossipcop-890284,https://nypost.com/2013/10/19/the-childhood-hell-of-the-lost-boys/,The childhood hell of ‘The Lost Boys’,Real
gossipcop-930658,https://www.usmagazine.com/celebrity-news/pictures/katy-perry-her-darling-orlando-bloom-meet-pope-francis/,"Katy Perry, Her ‘Darling’ Orlando Bloom Meet Pope Francis",Real
gossipcop-896517,https://www.indiewire.com/2017/11/gotham-awards-2017-complete-winners-list-1201901260/,Gotham Awards 2017: Complete Winners List,Real
gossipcop-860892,https://theworldnews.net/us-news/tv-scoop-awards-2018-vote-for-your-favorite-breakout-stars,TV Scoop Awards 2018: Vote for Your Favorite Breakout Stars,Real
gossipcop-925984,https://www.w3livenews.com/Entertainment/2018/04/09/John-Krasinski-Jokes-He-Stalked-Emily-Blunt-and-Reiterates-Devil-Wears-Prada-Love/8690550,John Krasinski Jokes He Stalked Emily Blunt and Reiterates Devil Wears Prada Love,Real
gossipcop-911983,http://celebritymaximum.com/2018/02/06/so-long-krystal-arie-luyendyk-jr-explains-why-he-sent-the-bachelors-most-polarizing-contestant-home/,Celebritymaximum.com,Real
gossipcop-858664,http://thepoliticsforums.com/threads/83390-Sean-Penn-did-not-Punch-somebody-and-gets-Rewarded!,Sean Penn did not Punch somebody and gets Rewarded!,Real
gossipcop-893257,https://www.cosmopolitan.com/entertainment/a25662309/khloe-kardashian-claps-back-photoshop-instagram/,Khloe Kardashian Claps Back at a Fan Accusing Her of Photoshopping a Picture on Insta,Real
gossipcop-942876,https://people.com/tv/jackson-odell-cause-death-accidental-drug-overdose/,The Goldbergs Actor Jackson Odell Died of an Accidental Drug Overdose,Real
gossipcop-872759,https://tlcnaptown.com/2352693/janet-jackson-is-in-good-spirits-as-she-prepares-to-resume-tour-as-a-single-mom/,Janet Jackson Is In Good Spirits As She Prepares To Resume Tour As A Single Mom,Real
gossipcop-884026,https://globalnews.ca/news/3780493/jim-carrey-lawsuit-cathriona-white-note/,Jim Carrey lawsuit: Unearthed note from ex-girlfriend makes shocking claims,Real
gossipcop-881554,https://variety.com/2017/politics/news/donald-trump-emmy-award-ratings-1202564180/,Trump Says He Was ‘Saddened’ by ‘Worst Ever’ Emmy Ratings,Real
gossipcop-880486,https://hellogiggles.com/news/prince-charles-transition-to-king-might-already-be-in-the-works/,"Prince Charles’ transition to king might already be in the works, and here’s what we know",Real
gossipcop-897431,https://en.wikipedia.org/wiki/Colin_Jost,Colin Jost,Real
gossipcop-852198,https://www.washingtonpost.com/lifestyle/inside-melania-trumps-complicated-white-house-life-separate-schedules-different-priorities/2018/05/06/60f6f07e-4703-11e8-9072-f6d4bc32f223_story.html,"Inside Melania Trump’s complicated White House life: Separate schedule, different priorities",Real
gossipcop-908254,https://www.vogue.com/article/maisie-williams-bridesmaid-at-sophie-turner-and-joe-jonas-wedding,Maisie Williams Will Be a Bridesmaid at Sophie Turner and Joe Jonas’s Wedding,Real
gossipcop-889739,https://article.wn.com/view/2017/10/27/What_They_Watch_The_TV_Diaries_of_Chicago_Med_Star_Torrey_De/,What They Watch: The TV Diaries of Chicago Med Star Torrey Devitto,Real
gossipcop-845913,https://en.wikipedia.org/wiki/Nicolette_Robinson,Nicolette Robinson,Real
